index,localhour,use,humidity,celsius
226196,2018-01-15 23:00:00,0.302,0.59,18.755555555555556
226197,2018-01-16 00:00:00,0.28300000000000003,0.71,16.855555555555558
226198,2018-01-16 01:00:00,0.379,0.77,15.938888888888888
226199,2018-01-16 02:00:00,0.413,0.79,15.32222222222222
226200,2018-01-16 03:00:00,0.528,0.78,15.100000000000001
226201,2018-01-16 04:00:00,0.545,0.76,15.150000000000002
226202,2018-01-16 05:00:00,0.428,0.76,14.766666666666664
226203,2018-01-16 06:00:00,0.308,0.74,14.616666666666667
226204,2018-01-16 07:00:00,0.237,0.75,14.25
226205,2018-01-16 08:00:00,0.213,0.83,13.361111111111109
226206,2018-01-16 09:00:00,0.18600000000000003,0.85,12.899999999999999
226207,2018-01-16 10:00:00,0.36700000000000005,0.87,12.550000000000002
226208,2018-01-16 11:00:00,0.203,0.87,12.055555555555557
226209,2018-01-16 12:00:00,0.18,0.85,11.67222222222222
226210,2018-01-16 13:00:00,0.207,0.83,11.461111111111112
226211,2018-01-16 14:00:00,0.23199999999999998,0.81,11.27222222222222
226212,2018-01-16 15:00:00,0.244,0.82,11.005555555555556
226213,2018-01-16 16:00:00,0.18,0.81,11.800000000000002
226214,2018-01-16 17:00:00,0.258,0.73,13.56111111111111
226215,2018-01-16 18:00:00,0.2,0.61,16.450000000000003
226216,2018-01-16 19:00:00,0.221,0.58,18.105555555555558
226217,2018-01-16 20:00:00,0.212,0.58,18.977777777777774
226218,2018-01-16 21:00:00,0.24,0.6,19.14444444444444
226219,2018-01-16 22:00:00,0.18600000000000003,0.59,19.433333333333337
226220,2018-01-16 23:00:00,0.20600000000000002,0.53,20.18888888888889
226221,2018-01-17 00:00:00,0.36700000000000005,0.51,20.083333333333336
226222,2018-01-17 01:00:00,0.294,0.57,18.983333333333334
226223,2018-01-17 02:00:00,0.512,0.67,16.91111111111111
226224,2018-01-17 03:00:00,2.3040000000000003,0.73,15.838888888888887
226225,2018-01-17 04:00:00,0.935,0.83,15.011111111111113
226226,2018-01-17 05:00:00,0.626,0.86,14.688888888888888
226227,2018-01-17 06:00:00,0.366,0.84,14.633333333333335
226228,2018-01-17 07:00:00,0.276,0.82,14.400000000000002
226229,2018-01-17 08:00:00,0.212,0.9,13.133333333333333
226230,2018-01-17 09:00:00,0.20199999999999999,0.88,12.777777777777779
226231,2018-01-17 10:00:00,0.175,0.85,12.66111111111111
226232,2018-01-17 11:00:00,0.22,0.82,12.538888888888888
226233,2018-01-17 12:00:00,0.209,0.81,12.133333333333335
226234,2018-01-17 13:00:00,0.172,0.82,11.755555555555553
226235,2018-01-17 14:00:00,0.195,0.8,11.616666666666665
226236,2018-01-17 15:00:00,0.33399999999999996,0.79,11.505555555555556
226237,2018-01-17 16:00:00,0.31,0.77,12.594444444444445
226238,2018-01-17 17:00:00,0.32899999999999996,0.67,15.238888888888889
226239,2018-01-17 18:00:00,0.336,0.54,18.56666666666667
226240,2018-01-17 19:00:00,0.311,0.45,20.761111111111113
226241,2018-01-17 20:00:00,0.289,0.44,22.066666666666666
226242,2018-01-17 21:00:00,0.253,0.39,23.09444444444444
226243,2018-01-17 22:00:00,0.287,0.41,22.938888888888894
226244,2018-01-17 23:00:00,0.578,0.43,22.394444444444446
226245,2018-01-18 00:00:00,0.731,0.51,20.91111111111111
226246,2018-01-18 01:00:00,0.515,0.57,19.272222222222222
226247,2018-01-18 02:00:00,0.5429999999999999,0.63,17.83333333333333
226248,2018-01-18 03:00:00,0.68,0.68,17.01111111111111
226249,2018-01-18 04:00:00,0.604,0.69,16.327777777777776
